Codigo;Nombre;Lista 1;Lista 2;Lista 3;Lista 4;Costo;Proveedor;Rubro;Subrubro;Cod. Barra
1146;GALLETA CHIPS CONFITE;15;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7798125810415
1147;GALLETA CHIPS LECHE;16;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7798125810538
1148;GALLETA CHIPS PEKELINO X300;70;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7792153000305
1149;GALLETA CHOCOCHIP 118GRMS;410;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790040125582
1150;GALLETA CHOCOLINA 170GRMS;410;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790040929906
1151;GALLETA CHOCOLINA 250GRMS;410;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790040111004
1152;GALLETA CHOCOLINAS;840;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790040139398
1153;GALLETA CHOCOLINAS 170G;1280;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790040143227
714604614;GALLETA CHOCOLINAS NEGRO;1700;;;;;;;;7790040148864
1154;GALLETA CHOCOLISIMAS TYM;150;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7793209903878
1155;GALLETA COFLER RELLENAS CHOCO CREAMY;700;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790040143777
1156;GALLETA CRIOLLITA X 3;310;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790040377806
1157;GALLETA DALE BLACK;48;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7798113152206
1158;GALLETA DALE CHOCOLATE;350;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7798113159892
1159;GALLETA DALE FRUTILLA;350;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7798113151261
77995057;GALLETA DALE MARIA  X3;1100;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7798113152268
1160;GALLETA DALE VAINILLA;350;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7798113151278
